"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"by order",14,8,0.54,0.584,0.624,-0.038,-0.027,68,11,-0.41,0.267,NA,NA,NA,0.146,0.159,0.172,0.426,0.507,0.58,0,0.012,0.037,0,0,0,0,0,0,105,107.741,109,105,107.741,109,105,107.741,109,0,0,0,NA,NA,NA
"by order",14,12,0.615,0.615,0.615,-0.033,-0.021,68,11,-0.425,0.27,NA,NA,NA,0.155,0.155,0.155,0.59,0.59,0.59,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,4,0.438,0.563,0.654,-0.04,-0.041,68,108,-0.336,0.186,NA,NA,NA,0.131,0.159,0.192,0.1,0.399,0.619,0,0.037,0.092,0,0,0,0,0,0,99,105.012,109,99,105.012,109,99,105.012,109,0,0,0,NA,NA,NA
"by order",20,8,0.623,0.679,0.712,-0.026,-0.021,68,108,-0.349,0.208,NA,NA,NA,0.126,0.144,0.162,0.475,0.592,0.68,0,0.005,0.018,0,0,0,0,0,0,107,108.444,109,107,108.444,109,107,108.444,109,0,0,0,NA,NA,NA
"by order",20,12,0.714,0.714,0.714,-0.021,-0.016,68,108,-0.345,0.214,NA,NA,NA,0.139,0.139,0.139,0.649,0.649,0.649,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,4,0.544,0.626,0.701,-0.032,-0.034,72,25,-0.403,0.135,NA,NA,NA,0.127,0.15,0.185,0.379,0.561,0.729,0,0.03,0.073,0,0,0,0,0,0,101,105.753,109,101,105.753,109,101,105.753,109,0,0,0,NA,NA,NA
"by order",30,8,0.687,0.738,0.772,-0.016,-0.012,72,1,-0.404,0.152,NA,NA,NA,0.117,0.137,0.154,0.599,0.707,0.769,0,0.004,0.018,0,0,0,0,0,0,107,108.617,109,107,108.617,109,107,108.617,109,0,0,0,NA,NA,NA
"by order",30,12,0.769,0.769,0.769,-0.011,-0.005,72,1,-0.405,0.161,NA,NA,NA,0.132,0.132,0.132,0.748,0.748,0.748,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,4,0.69,0.754,0.819,-0.017,-0.019,72,73,-0.19,0.125,NA,NA,NA,0.12,0.148,0.181,0.485,0.669,0.789,0,0.023,0.064,0,0,0,0,0,0,102,106.457,109,102,106.457,109,102,106.457,109,0,0,0,NA,NA,NA
"by order",40,8,0.838,0.863,0.884,0.001,0.001,36,73,-0.185,0.134,NA,NA,NA,0.119,0.135,0.148,0.708,0.773,0.812,0,0.006,0.028,0,0,0,0,0,0,106,108.383,109,106,108.383,109,106,108.383,109,0,0,0,NA,NA,NA
"by order",40,12,0.897,0.897,0.897,0.006,0.008,36,73,-0.182,0.136,NA,NA,NA,0.131,0.131,0.131,0.811,0.811,0.811,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,4,0.764,0.818,0.874,-0.021,-0.02,43,57,-0.157,0.088,NA,NA,NA,0.116,0.148,0.173,0.56,0.735,0.816,0,0.014,0.046,0,0,0,0,0,0,104,107.506,109,104,107.506,109,104,107.506,109,0,0,0,NA,NA,NA
"by order",50,8,0.898,0.919,0.94,-0.002,0.001,43,99,-0.14,0.076,NA,NA,NA,0.118,0.132,0.147,0.761,0.809,0.847,0,0.004,0.009,0,0,0,0,0,0,108,108.556,109,108,108.556,109,108,108.556,109,0,0,0,NA,NA,NA
"by order",50,12,0.951,0.951,0.951,0.004,0.008,43,99,-0.124,0.084,NA,NA,NA,0.129,0.129,0.129,0.837,0.837,0.837,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,4,0.797,0.854,0.898,-0.024,-0.024,43,57,-0.155,0.052,NA,NA,NA,0.113,0.144,0.166,0.621,0.77,0.836,0,0.013,0.037,0,0,0,0,0,0,105,107.58,109,105,107.58,109,105,107.58,109,0,0,0,NA,NA,NA
"by order",60,8,0.923,0.949,0.966,-0.005,0,43,39,-0.14,0.05,NA,NA,NA,0.116,0.131,0.144,0.796,0.839,0.866,0,0.001,0.009,0,0,0,0,0,0,108,108.84,109,108,108.84,109,108,108.84,109,0,0,0,NA,NA,NA
"by order",60,12,0.978,0.978,0.978,0.001,0.005,43,99,-0.121,0.055,NA,NA,NA,0.126,0.126,0.126,0.858,0.858,0.858,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,4,0.76,0.872,0.922,-0.026,-0.027,79,57,-0.071,0.094,NA,NA,NA,0.115,0.141,0.158,0.692,0.797,0.843,0,0.007,0.037,0,0,0,0,0,0,105,108.222,109,105,108.222,109,105,108.222,109,0,0,0,NA,NA,NA
"by order",70,8,0.946,0.97,0.982,-0.006,-0.006,24,57,-0.017,0.009,NA,NA,NA,0.118,0.126,0.137,0.832,0.851,0.871,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,12,NA,NA,NA,0,0,1,1,0,0,NA,NA,NA,0.121,0.121,0.121,0.864,0.864,0.864,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
