"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",50,4,0.063,0.694,0.868,-0.237,-0.279,133,166,-0.404,2.101,0.075,0.392,6.534,0.204,0.498,2.812,0.665,0.836,0.998,0.006,0.091,0.295,0,0,0,0,0.041,3,123,159.981,175,122,159.308,173,123,159.981,175,0,0,0,0,4525.801,5000
"random",50,5,0.35,0.811,0.914,-0.198,-0.219,133,110,-0.323,0.164,0.073,0.28,2.013,0.223,0.304,2.164,0.735,0.832,0.997,0,0.057,0.205,0,0,0,0,0.079,2,140,165.813,176,140,165.175,174,140,165.813,176,0,0,0,0,4692.472,5000
"random",50,6,0.668,0.859,0.928,-0.148,-0.161,133,110,-0.258,0.13,0.066,0.211,0.565,0.238,0.285,0.386,0.778,0.843,0.916,0,0.037,0.108,0,0,0,0,0.038,2,156,169.479,176,156,168.869,174,156,169.479,176,0,0,0,0,4797.42,5000
"random",50,7,0.383,0.893,0.946,-0.098,-0.106,133,110,-0.194,0.088,0.056,0.167,0.73,0.249,0.293,1.458,0.803,0.855,0.994,0,0.026,0.08,0,0,0,0,0.006,1,162,171.443,176,162,170.928,174,162,171.443,176,0,0,0,0,4855.915,5000
"random",50,8,0.749,0.918,0.962,-0.052,-0.053,79,110,-0.144,0.058,0.047,0.122,0.467,0.259,0.296,0.354,0.822,0.863,0.905,0,0.019,0.045,0,0,0,0,0.004,1,168,172.592,176,168,172.218,174,168,172.592,176,0,0,0,0,4892.557,5000
"random",50,9,0.79,0.937,0.974,-0.009,-0.005,133,69,-0.099,0.052,0.027,0.089,0.439,0.265,0.301,0.344,0.832,0.869,0.9,0,0.016,0.04,0,0,0,0,0,1,169,173.14,176,169,172.973,174,169,173.14,176,0,0,0,0,4914.006,5000
"random",60,3,0.304,0.68,0.845,-0.31,-0.341,172,110,-0.5,0.146,0.076,0.383,1.447,0.182,0.279,1.725,0.609,0.81,0.996,0.017,0.15,0.409,0,0,0,0,0.447,7,104,149.106,173,103,148.499,171,104,149.106,173,0,0,0,0,4218.733,5000
"random",60,4,0.182,0.777,0.909,-0.253,-0.279,172,110,-0.388,0.183,0.068,0.334,2.113,0.205,0.304,2.297,0.725,0.838,0.998,0.006,0.08,0.295,0,0,0,0,0.146,3,121,161.736,175,121,161.055,173,121,161.736,175,0,0,0,0,4575.426,5000
"random",60,5,0.359,0.848,0.924,-0.198,-0.217,152,110,-0.291,0.16,0.067,0.262,1.232,0.223,0.282,1.546,0.782,0.853,0.995,0.006,0.047,0.17,0,0,0,0,0.057,2,146,167.698,175,145,167.028,174,146,167.698,175,0,0,0,0,4745.114,5000
"random",60,6,0.385,0.896,0.948,-0.145,-0.158,133,110,-0.217,0.107,0.062,0.2,0.832,0.239,0.281,1.487,0.817,0.864,0.995,0,0.03,0.091,0,0,0,0,0.013,1,159,170.766,176,158,170.16,174,159,170.766,176,0,0,0,0,4834.097,5000
