"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"by order",20,6,0.683,0.762,0.822,-0.012,-0.01,112,166,-0.349,0.395,NA,NA,NA,0.173,0.191,0.206,0.708,0.758,0.985,0.045,0.093,0.176,0,0,0,0,0.429,2,144,158.917,168,145,158.214,167,145,159.345,168,0,0.31,2,NA,NA,NA
"by order",20,7,0.731,0.782,0.823,-0.008,-0.006,112,166,-0.357,0.38,NA,NA,NA,0.174,0.187,0.194,0.743,0.772,0.81,0.045,0.084,0.136,0,0,0,0,0.25,1,152,160.917,168,152,159.944,166,152,161.167,168,0,0.083,1,NA,NA,NA
"by order",20,8,0.776,0.8,0.818,-0.01,-0.006,112,166,-0.361,0.367,NA,NA,NA,0.178,0.184,0.188,0.775,0.789,0.807,0.051,0.064,0.091,0,0,0,0,0.111,1,160,164.667,167,159,163.556,166,160,164.778,167,0,0,0,NA,NA,NA
"by order",20,9,0.815,0.815,0.815,-0.006,-0.003,112,166,-0.366,0.357,NA,NA,NA,0.182,0.182,0.182,0.801,0.801,0.801,0.057,0.057,0.057,0,0,0,0,0,0,166,166,166,165,165,165,166,166,166,0,0,0,NA,NA,NA
"by order",30,3,0.452,0.646,0.777,0.003,0.005,88,166,-0.282,0.474,NA,NA,NA,0.165,0.207,0.297,0.531,0.748,0.992,0.074,0.196,0.378,0,0,0,0,0.702,5,99,139.321,163,101,139.333,162,102,140.024,163,0,1.952,22,NA,NA,NA
"by order",30,4,0.605,0.727,0.813,-0.009,-0.004,88,166,-0.286,0.441,NA,NA,NA,0.165,0.188,0.235,0.645,0.807,0.991,0.04,0.119,0.273,0,0,0,0,0.127,3,127,154.405,169,126,153.659,167,128,154.532,169,0,0.587,7,NA,NA,NA
"by order",30,5,0.657,0.777,0.836,-0.01,-0.005,88,166,-0.293,0.416,NA,NA,NA,0.163,0.178,0.203,0.722,0.778,0.991,0.034,0.091,0.21,0,0,0,0,0.183,3,139,159.627,170,138,158.833,170,139,159.81,170,0,0.175,3,NA,NA,NA
"by order",30,6,0.746,0.814,0.856,-0.013,-0.004,88,166,-0.298,0.397,NA,NA,NA,0.159,0.172,0.189,0.752,0.796,0.852,0.028,0.063,0.131,0,0,0,0,0.083,1,153,164.726,171,152,163.821,170,153,164.81,171,0,0.036,1,NA,NA,NA
"by order",30,7,0.797,0.841,0.872,-0.012,-0.005,88,166,-0.301,0.381,NA,NA,NA,0.16,0.168,0.182,0.785,0.814,0.991,0.028,0.05,0.102,0,0,0,0,0,0,158,167.222,171,158,166.278,169,158,167.222,171,0,0,0,NA,NA,NA
"by order",30,8,0.842,0.861,0.876,-0.01,-0.003,88,166,-0.302,0.369,NA,NA,NA,0.16,0.166,0.169,0.807,0.822,0.842,0.028,0.038,0.057,0,0,0,0,0,0,166,169.333,171,165,168.222,169,166,169.333,171,0,0,0,NA,NA,NA
"by order",30,9,0.875,0.875,0.875,-0.009,-0.001,88,166,-0.301,0.358,NA,NA,NA,0.164,0.164,0.164,0.832,0.832,0.832,0.028,0.028,0.028,0,0,0,0,0,0,171,171,171,169,169,169,171,171,171,0,0,0,NA,NA,NA
"by order",40,3,0.491,0.668,0.794,0.004,0.008,88,166,-0.292,0.462,NA,NA,NA,0.157,0.198,0.294,0.616,0.763,0.994,0.051,0.174,0.378,0,0,0,0,0.702,6,104,144.012,166,106,143.952,165,107,144.714,167,0,0.845,14,NA,NA,NA
"by order",40,4,0.641,0.753,0.839,-0.005,-0.001,88,166,-0.303,0.424,NA,NA,NA,0.154,0.178,0.231,0.716,0.802,0.994,0.034,0.105,0.286,0,0,0,0,0.294,2,123,157.04,170,124,156.468,170,125,157.333,170,0,0.19,2,NA,NA,NA
"by order",40,5,0.685,0.809,0.867,-0.008,-0.004,88,166,-0.312,0.394,NA,NA,NA,0.154,0.169,0.193,0.767,0.815,0.9,0.023,0.067,0.199,0,0,0,0,0.175,2,141,163.937,172,140,163.19,172,141,164.111,172,0,0.056,1,NA,NA,NA
"by order",40,6,0.768,0.848,0.89,-0.008,-0.004,88,166,-0.319,0.371,NA,NA,NA,0.154,0.163,0.183,0.801,0.83,0.882,0.017,0.044,0.108,0,0,0,0,0.083,1,157,168.155,173,156,167.321,172,157,168.238,173,0,0.012,1,NA,NA,NA
"by order",40,7,0.813,0.876,0.906,-0.008,-0.003,88,166,-0.323,0.352,NA,NA,NA,0.153,0.159,0.171,0.823,0.841,0.875,0.017,0.031,0.074,0,0,0,0,0.028,1,163,170.444,173,163,169.583,172,163,170.472,173,0,0,0,NA,NA,NA
"by order",40,8,0.869,0.898,0.908,-0.006,-0.002,88,166,-0.324,0.337,NA,NA,NA,0.154,0.156,0.16,0.841,0.85,0.866,0.017,0.025,0.028,0,0,0,0,0,0,171,171.667,173,170,170.778,172,171,171.667,173,0,0,0,NA,NA,NA
"by order",40,9,0.915,0.915,0.915,-0.005,0,88,166,-0.324,0.324,NA,NA,NA,0.153,0.153,0.153,0.855,0.855,0.855,0.023,0.023,0.023,0,0,0,0,0,0,172,172,172,171,171,171,172,172,172,0,0,0,NA,NA,NA
"by order",50,3,0.458,0.698,0.808,0.004,0.006,88,166,-0.293,0.181,NA,NA,NA,0.154,0.19,0.283,0.682,0.796,0.923,0.023,0.165,0.369,0,0,0,0,0.452,4,108,146.345,171,111,146.131,170,111,146.798,172,0,0.25,9,NA,NA,NA
"by order",50,4,0.652,0.791,0.869,-0.006,-0.001,88,133,-0.305,0.159,NA,NA,NA,0.148,0.172,0.223,0.747,0.843,0.997,0.023,0.09,0.284,0,0,0,0,0.016,1,126,160.056,172,125,159.262,171,126,160.071,172,0,0.008,1,NA,NA,NA
"by order",50,5,0.734,0.849,0.903,-0.008,-0.004,88,133,-0.312,0.163,NA,NA,NA,0.15,0.163,0.189,0.803,0.842,0.919,0.017,0.055,0.176,0,0,0,0,0.048,1,145,166.31,173,144,165.54,171,145,166.357,173,0,0,0,NA,NA,NA
"by order",50,6,0.792,0.888,0.926,-0.008,-0.001,88,133,-0.317,0.166,NA,NA,NA,0.149,0.158,0.174,0.831,0.855,0.906,0.011,0.034,0.08,0,0,0,0,0.012,1,161,169.94,174,161,169.214,173,162,169.952,174,0,0,0,NA,NA,NA
"by order",50,7,0.876,0.916,0.941,-0.007,-0.001,88,133,-0.32,0.167,NA,NA,NA,0.149,0.154,0.166,0.851,0.866,0.9,0.011,0.023,0.051,0,0,0,0,0,0,167,171.972,174,167,171.25,173,167,171.972,174,0,0,0,NA,NA,NA
"by order",50,8,0.925,0.936,0.945,-0.005,-0.001,88,133,-0.321,0.168,NA,NA,NA,0.149,0.152,0.158,0.867,0.875,0.888,0.006,0.014,0.023,0,0,0,0,0,0,172,173.556,175,171,172.778,174,172,173.556,175,0,0,0,NA,NA,NA
"by order",50,9,0.953,0.953,0.953,-0.004,0,88,133,-0.321,0.169,NA,NA,NA,0.151,0.151,0.151,0.883,0.883,0.883,0.006,0.006,0.006,0,0,0,0,0,0,175,175,175,174,174,174,175,175,175,0,0,0,NA,NA,NA
"by order",60,3,0.44,0.699,0.816,0.005,0.002,88,68,-0.213,0.194,NA,NA,NA,0.145,0.183,0.269,0.702,0.815,0.93,0.023,0.148,0.352,0,0,0,0,0.381,4,112,149.548,172,113,149.31,170,114,149.929,172,0,0.06,3,NA,NA,NA
"by order",60,4,0.628,0.802,0.894,-0.005,-0.005,88,110,-0.22,0.139,NA,NA,NA,0.14,0.165,0.214,0.762,0.841,0.996,0.011,0.077,0.261,0,0,0,0,0.119,1,129,162.349,174,130,161.778,173,130,162.468,174,0,0,0,NA,NA,NA
"by order",60,5,0.731,0.867,0.925,-0.006,-0.006,88,133,-0.215,0.123,NA,NA,NA,0.142,0.156,0.183,0.816,0.855,0.924,0.006,0.043,0.136,0,0,0,0,0.048,1,152,168.452,175,151,167.841,173,152,168.5,175,0,0,0,NA,NA,NA
"by order",60,6,0.796,0.911,0.943,-0.005,-0.004,88,133,-0.21,0.126,NA,NA,NA,0.14,0.151,0.169,0.839,0.867,0.917,0.006,0.026,0.068,0,0,0,0,0.012,1,163,171.381,175,164,170.786,174,164,171.393,175,0,0,0,NA,NA,NA
"by order",60,7,0.894,0.942,0.963,-0.004,-0.002,88,133,-0.205,0.128,NA,NA,NA,0.141,0.147,0.16,0.861,0.877,0.911,0.006,0.017,0.051,0,0,0,0,0,0,167,173.056,175,167,172.444,174,167,173.056,175,0,0,0,NA,NA,NA
"by order",60,8,0.953,0.965,0.975,-0.003,0,88,133,-0.202,0.13,NA,NA,NA,0.141,0.145,0.153,0.877,0.884,0.899,0,0.011,0.017,0,0,0,0,0,0,173,174,176,173,173.444,174,173,174,176,0,0,0,NA,NA,NA
"by order",60,9,0.981,0.981,0.981,-0.001,0.001,88,133,-0.199,0.131,NA,NA,NA,0.142,0.142,0.142,0.889,0.889,0.889,0.011,0.011,0.011,0,0,0,0,0,0,174,174,174,174,174,174,174,174,174,0,0,0,NA,NA,NA
"by order",70,3,0.468,0.709,0.822,0.005,-0.003,172,68,-0.065,0.195,NA,NA,NA,0.142,0.179,0.266,0.718,0.835,0.996,0.017,0.138,0.358,0,0,0,0,0.321,4,113,151.476,173,112,151.202,171,113,151.798,173,0,0,0,NA,NA,NA
"by order",70,4,0.646,0.816,0.906,-0.004,-0.008,172,110,-0.043,0.141,NA,NA,NA,0.137,0.161,0.214,0.786,0.868,0.997,0.011,0.071,0.261,0,0,0,0,0.016,1,129,163.571,174,130,162.865,172,130,163.587,174,0,0,0,NA,NA,NA
"by order",70,5,0.747,0.883,0.934,-0.005,-0.007,14,110,-0.035,0.071,NA,NA,NA,0.136,0.152,0.188,0.83,0.874,0.996,0.006,0.039,0.131,0,0,0,0,0,0,153,169.143,175,152,168.437,173,153,169.143,175,0,0,0,NA,NA,NA
"by order",70,6,0.812,0.928,0.957,-0.004,-0.005,14,110,-0.023,0.037,NA,NA,NA,0.135,0.146,0.164,0.854,0.88,0.924,0.006,0.025,0.074,0,0,0,0,0.012,1,162,171.643,175,163,171.048,174,163,171.655,175,0,0,0,NA,NA,NA
"by order",70,7,0.921,0.96,0.979,-0.003,-0.003,14,110,-0.013,0.018,NA,NA,NA,0.136,0.143,0.157,0.873,0.889,0.921,0,0.016,0.045,0,0,0,0,0,0,168,173.139,176,168,172.611,174,168,173.139,176,0,0,0,NA,NA,NA
"by order",70,8,0.974,0.982,0.988,-0.001,-0.001,14,110,-0.006,0.007,NA,NA,NA,0.136,0.14,0.148,0.888,0.895,0.908,0,0.012,0.017,0,0,0,0,0,0,173,173.889,176,173,173.556,174,173,173.889,176,0,0,0,NA,NA,NA
"by order",70,9,NA,NA,NA,0,0,1,1,0,0,NA,NA,NA,0.138,0.138,0.138,0.9,0.9,0.9,0.011,0.011,0.011,0,0,0,0,0,0,174,174,174,174,174,174,174,174,174,0,0,0,NA,NA,NA
