"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",30,8,0.58,0.813,0.911,-0.014,-0.007,79,110,-0.189,0.007,0.009,0.08,0.398,0.131,0.157,0.182,0.734,0.82,0.995,0.006,0.036,0.085,0,0,0,0,0.032,2,174,175.968,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,9,0.612,0.83,0.925,-0.013,-0.005,79,110,-0.194,0.006,0.003,0.072,0.402,0.129,0.155,0.181,0.75,0.828,0.995,0,0.029,0.068,0,0,0,0,0.02,2,174,175.98,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,3,0.386,0.65,0.809,-0.025,-0.022,152,166,-0.133,0.157,0.065,0.159,0.413,0.148,0.199,0.289,0.515,0.752,0.991,0.028,0.182,0.42,0,0,0,0,0.765,9,167,175.235,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,4,0.488,0.734,0.865,-0.019,-0.018,152,166,-0.109,0.083,0.044,0.125,0.33,0.133,0.179,0.235,0.624,0.807,0.997,0.011,0.11,0.341,0,0,0,0,0.27,5,171,175.73,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,5,0.584,0.789,0.893,-0.016,-0.014,79,166,-0.103,0.031,0.031,0.103,0.312,0.131,0.167,0.211,0.712,0.815,0.992,0.006,0.072,0.227,0,0,0,0,0.152,3,173,175.848,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,6,0.607,0.828,0.912,-0.013,-0.01,79,165,-0.104,0.014,0.021,0.088,0.308,0.133,0.16,0.187,0.759,0.829,0.906,0.006,0.048,0.148,0,0,0,0,0.084,2,174,175.916,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,7,0.667,0.857,0.933,-0.01,-0.007,79,110,-0.104,0.01,0.013,0.075,0.302,0.128,0.155,0.184,0.783,0.84,0.901,0,0.034,0.097,0,0,0,0,0.034,1,175,175.966,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,8,0.672,0.877,0.948,-0.009,-0.005,79,110,-0.117,0.007,0.007,0.064,0.312,0.13,0.151,0.174,0.796,0.848,0.902,0,0.026,0.062,0,0,0,0,0.017,2,174,175.983,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,9,0.708,0.896,0.956,-0.007,-0.003,79,110,-0.11,0.005,0.001,0.055,0.301,0.13,0.149,0.17,0.811,0.856,0.993,0,0.02,0.051,0,0,0,0,0.007,1,175,175.993,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,3,0.409,0.687,0.828,-0.021,-0.019,152,166,-0.1,0.152,0.059,0.15,0.396,0.144,0.193,0.279,0.605,0.792,0.913,0.023,0.163,0.42,0,0,0,0,0.584,8,168,175.416,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
