"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"by order",14,4,0.515,0.566,0.608,-0.081,-0.079,99,92,-0.607,0.657,NA,NA,NA,0.26,0.281,0.307,0.175,0.283,0.408,0.028,0.056,0.074,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",14,5,0.624,0.624,0.624,-0.009,-0.009,99,92,-0.598,0.731,NA,NA,NA,0.278,0.278,0.278,0.32,0.32,0.32,0.028,0.028,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,3,0.414,0.595,0.685,-0.162,-0.16,67,8,-0.537,0.235,NA,NA,NA,0.207,0.268,0.343,0.019,0.368,0.643,0.017,0.09,0.21,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,4,0.571,0.695,0.753,-0.088,-0.092,163,8,-0.56,0.348,NA,NA,NA,0.242,0.267,0.301,0.364,0.465,0.588,0.011,0.04,0.062,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,5,0.76,0.76,0.76,-0.018,-0.012,163,8,-0.52,0.44,NA,NA,NA,0.266,0.266,0.266,0.507,0.507,0.507,0.028,0.028,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,3,0.497,0.67,0.762,-0.157,-0.148,28,92,-0.476,0.125,NA,NA,NA,0.19,0.246,0.299,0.251,0.526,0.698,0.006,0.07,0.17,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,4,0.662,0.785,0.83,-0.078,-0.074,28,8,-0.446,0.236,NA,NA,NA,0.225,0.244,0.267,0.529,0.591,0.663,0.006,0.03,0.045,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,5,0.855,0.855,0.855,-0.006,-0.001,28,8,-0.397,0.327,NA,NA,NA,0.245,0.245,0.245,0.626,0.626,0.626,0.017,0.017,0.017,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,3,0.536,0.725,0.796,-0.155,-0.152,9,107,-0.414,0.118,NA,NA,NA,0.175,0.228,0.27,0.351,0.596,0.729,0,0.055,0.165,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,4,0.724,0.848,0.879,-0.074,-0.075,9,124,-0.336,0.12,NA,NA,NA,0.211,0.227,0.247,0.604,0.653,0.71,0,0.028,0.057,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,5,0.92,0.92,0.92,0,-0.001,9,87,-0.266,0.183,NA,NA,NA,0.227,0.227,0.227,0.68,0.68,0.68,0,0,0,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,3,0.558,0.755,0.818,-0.154,-0.149,9,107,-0.44,0.098,NA,NA,NA,0.17,0.222,0.268,0.458,0.661,0.781,0,0.052,0.159,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,4,0.75,0.88,0.912,-0.073,-0.069,9,70,-0.359,0.065,NA,NA,NA,0.205,0.221,0.241,0.667,0.711,0.759,0,0.022,0.034,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,5,0.951,0.951,0.951,0,0.008,9,70,-0.287,0.152,NA,NA,NA,0.222,0.222,0.222,0.735,0.735,0.735,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,3,0.593,0.794,0.867,-0.15,-0.149,35,75,-0.34,0.098,NA,NA,NA,0.171,0.219,0.263,0.556,0.713,0.812,0,0.051,0.148,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,4,0.784,0.917,0.943,-0.068,-0.065,35,75,-0.227,0.075,NA,NA,NA,0.203,0.22,0.24,0.721,0.758,0.799,0,0.02,0.04,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,5,0.983,0.983,0.983,0.005,0.009,91,70,-0.165,0.147,NA,NA,NA,0.221,0.221,0.221,0.779,0.779,0.779,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,3,0.626,0.809,0.878,-0.156,-0.169,82,92,-0.229,0.092,NA,NA,NA,0.173,0.214,0.255,0.629,0.745,0.829,0,0.051,0.153,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,4,0.802,0.933,0.961,-0.074,-0.079,82,107,-0.102,0.058,NA,NA,NA,0.2,0.215,0.236,0.753,0.785,0.823,0,0.016,0.023,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,5,NA,NA,NA,0,0,1,1,0,0,NA,NA,NA,0.216,0.216,0.216,0.803,0.803,0.803,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
