"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_min","percnegICC_mean","percnegICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"by order",40,10,0.773,0.773,0.773,-1.278,-0.194,0.17,NA,NA,NA,0.281,0.281,0.281,0.814,0.814,0.814,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",40,15,0.812,0.812,0.812,-1.183,-0.007,0.392,NA,NA,NA,0.281,0.281,0.281,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",50,5,0.768,0.768,0.768,-1.452,-0.513,-0.046,NA,NA,NA,0.239,0.239,0.239,0.77,0.77,0.77,0.055,0.055,0.055,0,0,0,0,0,0,109,109,109,109,109,109
"by order",50,10,0.819,0.819,0.819,-1.119,-0.195,0.122,NA,NA,NA,0.262,0.262,0.262,0.83,0.83,0.83,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",50,15,0.855,0.855,0.855,-1.045,-0.01,0.244,NA,NA,NA,0.267,0.267,0.267,0.842,0.842,0.842,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",60,5,0.789,0.789,0.789,-1.482,-0.507,-0.032,NA,NA,NA,0.228,0.228,0.228,0.791,0.791,0.791,0.028,0.028,0.028,0,0,0,0,0,0,109,109,109,109,109,109
"by order",60,10,0.871,0.871,0.871,-1.148,-0.195,0.07,NA,NA,NA,0.251,0.251,0.251,0.846,0.846,0.846,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",60,15,0.899,0.899,0.899,-1.079,-0.013,0.146,NA,NA,NA,0.259,0.259,0.259,0.861,0.861,0.861,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",70,5,0.89,0.89,0.89,-0.738,-0.495,-0.128,NA,NA,NA,0.227,0.227,0.227,0.82,0.82,0.82,0.018,0.018,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"by order",70,10,0.961,0.961,0.961,-0.34,-0.182,0.057,NA,NA,NA,0.256,0.256,0.256,0.874,0.874,0.874,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259,0.259,0.259,0.881,0.881,0.881,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
