"group","occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE_ICC.z_min","RMSE_ICC.z_mean","RMSE_ICC.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"medium NED","random",80,15,-0.03,0.82,0.98,-0.46,0,0.16,0.02,0.06,0.15,0.05,0.09,0.14,0,0.15,0.63,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","random",90,5,0.08,0.35,0.55,-0.92,-0.55,-0.3,0.54,0.56,0.6,0.1,0.12,0.15,0,0.46,0.67,0,0.01,1,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","random",90,10,0.11,0.84,0.95,-0.59,-0.21,0.03,0.19,0.22,0.27,0.06,0.1,0.15,0,0.32,0.68,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","random",90,15,0.09,0.92,1,-0.4,0,0.1,0.01,0.04,0.13,0.05,0.08,0.12,0,0.07,0.56,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",3,5,0.62,0.62,0.62,-2.14,-0.71,0,0.9,0.9,0.9,0.62,0.62,0.62,0,0,0,3,3,3,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",3,10,0.54,0.54,0.54,-0.83,-0.24,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0,0,0,1,1,1,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",3,15,0.48,0.48,0.48,-0.66,-0.1,0.76,0.43,0.43,0.43,0.46,0.46,0.46,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",10,5,-0.05,-0.05,-0.05,-1.19,-0.69,-0.03,0.76,0.76,0.76,0.33,0.33,0.33,0.2,0.2,0.2,5,5,5,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",10,10,-0.01,-0.01,-0.01,-1.14,-0.27,0.26,0.46,0.46,0.46,0.38,0.38,0.38,0.49,0.49,0.49,1,1,1,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",10,15,-0.07,-0.07,-0.07,-0.94,-0.1,0.46,0.36,0.36,0.36,0.35,0.35,0.35,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",20,5,0.2,0.2,0.2,-0.96,-0.6,-0.26,0.63,0.63,0.63,0.22,0.22,0.22,0.23,0.23,0.23,2,2,2,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",20,10,0.45,0.45,0.45,-0.67,-0.2,0.1,0.29,0.29,0.29,0.24,0.24,0.24,0.44,0.44,0.44,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",20,15,0.44,0.44,0.44,-0.38,-0.01,0.22,0.17,0.17,0.17,0.19,0.19,0.19,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",30,5,0.11,0.11,0.11,-0.99,-0.59,-0.28,0.63,0.63,0.63,0.21,0.21,0.21,0.43,0.43,0.43,2,2,2,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",30,10,0.47,0.47,0.47,-0.61,-0.19,0.1,0.26,0.26,0.26,0.21,0.21,0.21,0.52,0.52,0.52,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",30,15,0.4,0.4,0.4,-0.34,0,0.21,0.14,0.14,0.14,0.17,0.17,0.17,0.24,0.24,0.24,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",40,5,0.05,0.05,0.05,-1,-0.59,-0.31,0.62,0.62,0.62,0.2,0.2,0.2,0.53,0.53,0.53,2,2,2,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",40,10,0.42,0.42,0.42,-0.64,-0.2,0.11,0.26,0.26,0.26,0.19,0.19,0.19,0.58,0.58,0.58,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",40,15,0.33,0.33,0.33,-0.37,-0.01,0.18,0.14,0.14,0.14,0.16,0.16,0.16,0.38,0.38,0.38,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",50,5,0.09,0.09,0.09,-0.91,-0.6,-0.37,0.62,0.62,0.62,0.16,0.16,0.16,0.44,0.44,0.44,1,1,1,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",50,10,0.6,0.6,0.6,-0.53,-0.22,0.05,0.25,0.25,0.25,0.16,0.16,0.16,0.53,0.53,0.53,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",50,15,0.51,0.51,0.51,-0.29,-0.04,0.15,0.11,0.11,0.11,0.13,0.13,0.13,0.27,0.27,0.27,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",60,5,0.15,0.15,0.15,-0.9,-0.6,-0.4,0.62,0.62,0.62,0.15,0.15,0.15,0.46,0.46,0.46,1,1,1,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",60,10,0.64,0.64,0.64,-0.49,-0.24,0.01,0.26,0.26,0.26,0.14,0.14,0.14,0.47,0.47,0.47,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",60,15,0.49,0.49,0.49,-0.27,-0.05,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.36,0.36,0.36,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",70,5,0.18,0.18,0.18,-0.91,-0.58,-0.38,0.6,0.6,0.6,0.16,0.16,0.16,0.59,0.59,0.59,1,1,1,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",70,10,0.6,0.6,0.6,-0.47,-0.24,0.02,0.26,0.26,0.26,0.14,0.14,0.14,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",70,15,0.48,0.48,0.48,-0.3,-0.04,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.47,0.47,0.47,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",80,5,0.15,0.15,0.15,-0.88,-0.57,-0.39,0.59,0.59,0.59,0.14,0.14,0.14,0.56,0.56,0.56,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",80,10,0.52,0.52,0.52,-0.47,-0.24,-0.04,0.26,0.26,0.26,0.13,0.13,0.13,0.52,0.52,0.52,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",80,15,0.37,0.37,0.37,-0.31,-0.05,0.07,0.12,0.12,0.12,0.12,0.12,0.12,0.49,0.49,0.49,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",90,5,0.19,0.19,0.19,-0.92,-0.57,-0.36,0.59,0.59,0.59,0.14,0.14,0.14,0.58,0.58,0.58,1,1,1,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",90,10,0.7,0.7,0.7,-0.42,-0.24,-0.09,0.25,0.25,0.25,0.11,0.11,0.11,0.41,0.41,0.41,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",90,15,0.56,0.56,0.56,-0.3,-0.04,0.01,0.09,0.09,0.09,0.1,0.1,0.1,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",100,5,0.36,0.36,0.36,-0.75,-0.55,-0.37,0.56,0.56,0.56,0.12,0.12,0.12,0.49,0.49,0.49,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",100,10,0.89,0.89,0.89,-0.25,-0.21,-0.1,0.21,0.21,0.21,0.1,0.1,0.1,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"medium NED","by order",100,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
