"group","n_occasions","n_items","diff_ICC_sim_mean","diff_ICC_sim_var","diff_ICC_MCSE","diff_ICC.z_sim_mean","diff_ICC.z_sim_var","diff_ICC.z_MCSE","cor_ICC_sim_mean","cor_ICC_sim_var","cor_ICC_MCSE","cor_ICC.z_sim_mean","cor_ICC.z_sim_var","cor_ICC.z_MCSE","RMSE_ICC_sim_mean","RMSE_ICC_sim_var","RMSE_ICC_MCSE","RMSE_ICC.z_sim_mean","RMSE_ICC.z_sim_var","RMSE_ICC.z_MCSE","rel_sim_mean","rel_sim_var","rel_MCSE","sd_ICC_sim_mean","sd_ICC_sim_var","sd_ICC_MCSE","sd_ICC.z_sim_mean","sd_ICC.z_sim_var","sd_ICC.z_MCSE","percnegICC_sim_mean","percnegICC_sim_var","percnegICC_MCSE","N_rel_sim_mean","N_rel_sim_var","N_rel_MCSE"
"low NED",20,15,-0.023,0,0.001,-0.055,0.001,0.001,0.338,0.048,0.007,0.292,0.059,0.008,0.118,0,0.001,0.253,0.002,0.001,0.51,0.012,0.003,0.121,0,0,0.255,0.001,0.001,0,0,0,37,0,0
"low NED",30,5,-0.066,0,0,-0.571,0.001,0.001,0.467,0.045,0.007,0.454,0.051,0.007,0.135,0,0.001,0.606,0.001,0.001,0.547,0.006,0.002,0.135,0,0,0.227,0,0.001,0.002,0,0,37,0,0
"low NED",30,10,-0.022,0,0,-0.226,0.001,0.001,0.486,0.052,0.007,0.462,0.061,0.008,0.104,0,0.001,0.302,0.002,0.001,0.604,0.007,0.003,0.118,0,0,0.23,0.001,0.001,0,0,0,37,0,0
"low NED",30,15,-0.015,0,0,-0.034,0.001,0.001,0.474,0.066,0.008,0.432,0.082,0.009,0.093,0,0.001,0.195,0.003,0.002,0.557,0.008,0.003,0.104,0,0,0.214,0,0.001,0,0,0,37,0,0
"low NED",40,5,-0.063,0,0,-0.566,0,0.001,0.53,0.046,0.007,0.517,0.052,0.007,0.121,0,0.001,0.593,0.001,0.001,0.607,0.003,0.002,0.125,0,0,0.209,0,0,0.001,0,0,37,0,0
"low NED",40,10,-0.017,0,0,-0.213,0.001,0.001,0.595,0.054,0.007,0.574,0.064,0.008,0.085,0,0.001,0.269,0.002,0.001,0.632,0.005,0.002,0.106,0,0,0.205,0,0.001,0,0,0,37,0,0
"low NED",40,15,-0.01,0,0,-0.022,0.001,0.001,0.585,0.073,0.009,0.547,0.092,0.01,0.074,0.001,0.001,0.154,0.003,0.002,0.572,0.006,0.003,0.092,0,0,0.187,0,0.001,0,0,0,37,0,0
"low NED",50,5,-0.059,0,0,-0.558,0,0.001,0.64,0.037,0.006,0.632,0.042,0.007,0.107,0,0.001,0.578,0.001,0.001,0.652,0.002,0.001,0.119,0,0,0.197,0,0,0,0,0,37,0,0
"low NED",50,10,-0.013,0,0,-0.205,0,0.001,0.708,0.049,0.007,0.692,0.058,0.008,0.067,0,0.001,0.242,0.001,0.001,0.649,0.003,0.002,0.098,0,0,0.186,0,0,0,0,0,37,0,0
"low NED",50,15,-0.006,0,0,-0.013,0,0.001,0.716,0.069,0.008,0.686,0.089,0.009,0.055,0.001,0.001,0.113,0.003,0.002,0.577,0.005,0.002,0.084,0,0,0.167,0,0,0,0,0,37,0,0
