"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_min","percnegICC_mean","percnegICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"random",14,5,0.288,0.592,0.8,-0.071,-0.071,107,98,-0.434,0.163,0.071,0.144,0.521,0.134,0.167,0.204,0.124,0.437,0.654,0.018,0.109,0.22,0,0,0,0,0,0,109,109,109,109,109,109
"random",14,10,0.416,0.64,0.816,-0.031,-0.034,107,98,-0.379,0.131,0.043,0.113,0.474,0.121,0.156,0.185,0.384,0.614,0.729,0,0.023,0.092,0,0,0,0,0,0,109,109,109,109,109,109
"random",14,15,0.493,0.687,0.857,-0.019,-0.009,107,98,-0.392,0.046,0.033,0.095,0.475,0.114,0.144,0.175,0.418,0.63,0.751,0,0.008,0.055,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,5,0.451,0.662,0.83,-0.067,-0.068,107,57,-0.39,0.173,0.064,0.125,0.495,0.123,0.156,0.187,0.29,0.554,0.7,0.009,0.078,0.165,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,10,0.532,0.714,0.878,-0.025,-0.026,107,98,-0.324,0.096,0.034,0.095,0.444,0.119,0.147,0.175,0.551,0.698,0.791,0,0.011,0.055,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,15,0.587,0.758,0.903,-0.013,-0.006,107,98,-0.346,0.033,0.026,0.077,0.449,0.113,0.136,0.16,0.584,0.709,0.8,0,0.003,0.037,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,5,0.57,0.744,0.865,-0.063,-0.065,107,57,-0.293,0.186,0.047,0.106,0.434,0.114,0.145,0.166,0.483,0.662,0.751,0,0.05,0.128,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,10,0.646,0.796,0.905,-0.019,-0.024,107,10,-0.236,0.097,0.025,0.074,0.392,0.112,0.137,0.16,0.658,0.769,0.837,0,0.004,0.037,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,15,0.688,0.842,0.943,-0.008,-0.003,107,98,-0.258,0.016,0.019,0.058,0.393,0.108,0.127,0.147,0.688,0.779,0.838,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,5,0.65,0.8,0.906,-0.06,-0.063,107,57,-0.221,0.191,0.036,0.093,0.377,0.119,0.138,0.162,0.631,0.723,0.801,0,0.035,0.092,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,10,0.703,0.855,0.934,-0.015,-0.02,107,10,-0.154,0.102,0.019,0.061,0.333,0.111,0.131,0.146,0.748,0.811,0.85,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,15,0.764,0.9,0.96,-0.005,-0.002,107,98,-0.186,0.009,0.015,0.044,0.339,0.107,0.122,0.139,0.762,0.82,0.859,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,5,0.7,0.842,0.912,-0.058,-0.062,2,57,-0.175,0.196,0.028,0.083,0.304,0.117,0.134,0.153,0.693,0.766,0.82,0,0.026,0.073,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,10,0.77,0.901,0.953,-0.013,-0.019,107,10,-0.082,0.104,0.014,0.05,0.267,0.113,0.127,0.14,0.796,0.838,0.872,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,15,0.821,0.945,0.982,-0.003,-0.001,107,98,-0.111,0.004,0.01,0.032,0.268,0.106,0.119,0.131,0.807,0.847,0.874,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,5,0.742,0.874,0.912,-0.057,-0.061,2,57,-0.174,0.197,0.019,0.075,0.22,0.119,0.131,0.14,0.751,0.796,0.822,0,0.02,0.046,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,10,0.827,0.936,0.967,-0.011,-0.018,54,10,-0.08,0.106,0.011,0.04,0.195,0.112,0.124,0.133,0.825,0.858,0.879,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,15,0.857,0.978,0.994,-0.001,0,107,98,-0.061,0.002,0.007,0.021,0.199,0.107,0.117,0.124,0.841,0.866,0.884,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",14,5,0.515,0.515,0.515,-0.087,-0.099,107,57,-0.442,0.333,NA,NA,NA,0.17,0.17,0.17,0.468,0.468,0.468,0.119,0.119,0.119,0,0,0,0,0,0,109,109,109,109,109,109
"by order",14,10,0.542,0.542,0.542,-0.022,-0.022,107,57,-0.491,0.357,NA,NA,NA,0.164,0.164,0.164,0.648,0.648,0.648,0.028,0.028,0.028,0,0,0,0,0,0,109,109,109,109,109,109
"by order",14,15,0.558,0.558,0.558,-0.011,-0.009,107,57,-0.493,0.319,NA,NA,NA,0.152,0.152,0.152,0.647,0.647,0.647,0.009,0.009,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"by order",20,5,0.609,0.609,0.609,-0.077,-0.092,107,57,-0.508,0.387,NA,NA,NA,0.159,0.159,0.159,0.582,0.582,0.582,0.083,0.083,0.083,0,0,0,0,0,0,109,109,109,109,109,109
"by order",20,10,0.647,0.647,0.647,-0.011,-0.007,107,57,-0.486,0.398,NA,NA,NA,0.152,0.152,0.152,0.714,0.714,0.714,0.018,0.018,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"by order",20,15,0.678,0.678,0.678,0,0.004,107,57,-0.475,0.342,NA,NA,NA,0.14,0.14,0.14,0.701,0.701,0.701,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",30,5,0.689,0.689,0.689,-0.067,-0.065,107,57,-0.531,0.29,NA,NA,NA,0.147,0.147,0.147,0.681,0.681,0.681,0.083,0.083,0.083,0,0,0,0,0,0,109,109,109,109,109,109
"by order",30,10,0.727,0.727,0.727,-0.009,-0.013,107,93,-0.473,0.23,NA,NA,NA,0.144,0.144,0.144,0.791,0.791,0.791,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",30,15,0.756,0.756,0.756,0.001,0.008,107,93,-0.501,0.238,NA,NA,NA,0.131,0.131,0.131,0.783,0.783,0.783,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",40,5,0.733,0.733,0.733,-0.067,-0.072,107,57,-0.554,0.251,NA,NA,NA,0.139,0.139,0.139,0.734,0.734,0.734,0.064,0.064,0.064,0,0,0,0,0,0,109,109,109,109,109,109
"by order",40,10,0.764,0.764,0.764,-0.013,-0.008,107,93,-0.529,0.187,NA,NA,NA,0.131,0.131,0.131,0.814,0.814,0.814,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",40,15,0.8,0.8,0.8,-0.001,0.001,107,93,-0.532,0.205,NA,NA,NA,0.123,0.123,0.123,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
