"group","occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE_ICC.z_min","RMSE_ICC.z_mean","RMSE_ICC.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"high NED","by order",40,5,0.415,0.415,0.415,-0.774,-0.457,-0.079,0.484,0.484,0.484,0.167,0.167,0.167,0.395,0.395,0.395,6,6,6,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",40,10,0.645,0.645,0.645,-0.535,-0.17,0.117,0.223,0.223,0.223,0.191,0.191,0.191,0.589,0.589,0.589,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",40,15,0.77,0.77,0.77,-0.253,-0.007,0.21,0.109,0.109,0.109,0.173,0.173,0.173,0.514,0.514,0.514,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",50,5,0.491,0.491,0.491,-0.679,-0.447,-0.123,0.47,0.47,0.47,0.156,0.156,0.156,0.446,0.446,0.446,5,5,5,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",50,10,0.694,0.694,0.694,-0.55,-0.159,0.122,0.2,0.2,0.2,0.171,0.171,0.171,0.593,0.593,0.593,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",50,15,0.807,0.807,0.807,-0.291,-0.003,0.184,0.092,0.092,0.092,0.159,0.159,0.159,0.544,0.544,0.544,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",60,5,0.55,0.55,0.55,-0.697,-0.427,-0.173,0.446,0.446,0.446,0.141,0.141,0.141,0.439,0.439,0.439,3,3,3,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",60,10,0.799,0.799,0.799,-0.297,-0.161,0.009,0.184,0.184,0.184,0.15,0.15,0.15,0.56,0.56,0.56,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",60,15,0.936,0.936,0.936,-0.17,-0.007,0.106,0.05,0.05,0.05,0.143,0.143,0.143,0.535,0.535,0.535,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",70,5,0.6,0.6,0.6,-0.655,-0.42,-0.188,0.434,0.434,0.434,0.125,0.125,0.125,0.399,0.399,0.399,2,2,2,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",70,10,0.833,0.833,0.833,-0.264,-0.157,0.011,0.175,0.175,0.175,0.137,0.137,0.137,0.549,0.549,0.549,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128,0.128,0.128,0.506,0.506,0.506,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"low NED","random",14,5,-0.213,0.292,0.77,-2.036,-0.602,1.096,0.522,0.665,0.792,0.211,0.291,0.413,0,0.349,0.686,0,0.781,5,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",14,10,-0.273,0.276,0.802,-2.114,-0.271,1.147,0.273,0.408,0.555,0.214,0.313,0.469,0,0.497,0.784,0,0.16,3,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",14,15,-0.362,0.216,0.834,-1.97,-0.079,0.917,0.148,0.309,0.461,0.197,0.298,0.417,0,0.463,0.736,0,0.08,2,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",20,5,-0.119,0.365,0.797,-1.921,-0.587,0.476,0.518,0.635,0.738,0.19,0.258,0.347,0.008,0.447,0.704,0,0.317,3,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",20,10,-0.205,0.355,0.832,-1.881,-0.251,0.73,0.231,0.359,0.483,0.186,0.271,0.384,0.085,0.552,0.785,0,0.055,1,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",20,15,-0.258,0.32,0.84,-1.824,-0.055,0.841,0.137,0.253,0.403,0.179,0.255,0.351,0.05,0.51,0.752,0,0.018,1,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",30,5,0.001,0.488,0.852,-1.777,-0.571,0.197,0.513,0.606,0.695,0.17,0.227,0.293,0.204,0.547,0.733,0,0.088,2,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",30,10,-0.099,0.505,0.865,-1.675,-0.226,0.624,0.198,0.302,0.406,0.154,0.23,0.301,0.136,0.604,0.775,0,0.007,1,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",30,15,-0.138,0.487,0.865,-1.64,-0.034,0.577,0.1,0.195,0.334,0.155,0.214,0.289,0.184,0.557,0.764,0,0.002,1,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",40,5,0.062,0.556,0.858,-1.699,-0.566,0.115,0.528,0.593,0.66,0.166,0.209,0.253,0.386,0.607,0.736,0,0.031,1,0,0,0,0,0,0,37,37,37,37,37,37
