"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"by order",14,4,0.508,0.543,0.561,-0.001,-0.003,67,92,-0.319,0.408,NA,NA,NA,0.155,0.165,0.179,0.074,0.189,0.35,0.028,0.056,0.074,0,0,0,0,0,0,163,166.2,171,163,165.8,170,163,166.2,171,0,0,0,NA,NA,NA
"by order",14,5,0.588,0.588,0.588,-0.001,0.001,99,92,-0.335,0.402,NA,NA,NA,0.155,0.155,0.155,0.251,0.251,0.251,0.028,0.028,0.028,0,0,0,0,0,0,171,171,171,170,170,170,171,171,171,0,0,0,NA,NA,NA
"by order",20,3,0.39,0.564,0.645,0.003,0.004,67,117,-0.224,0.247,NA,NA,NA,0.141,0.173,0.206,0,0.317,0.624,0.017,0.09,0.21,0,0,0,0,0,0,139,160.1,173,139,159.7,172,139,160.1,173,0,0,0,NA,NA,NA
"by order",20,4,0.589,0.676,0.722,-0.009,-0.01,163,117,-0.241,0.255,NA,NA,NA,0.146,0.159,0.179,0.297,0.413,0.573,0.011,0.04,0.062,0,0,0,0,0,0,165,169,174,165,168.8,173,165,169,174,0,0,0,NA,NA,NA
"by order",20,5,0.73,0.73,0.73,-0.008,-0.005,163,117,-0.301,0.259,NA,NA,NA,0.148,0.148,0.148,0.452,0.452,0.452,0.028,0.028,0.028,0,0,0,0,0,0,171,171,171,171,171,171,171,171,171,0,0,0,NA,NA,NA
"by order",30,3,0.499,0.656,0.732,0.003,0.007,105,92,-0.182,0.194,NA,NA,NA,0.13,0.162,0.183,0.144,0.479,0.682,0.006,0.07,0.17,0,0,0,0,0,0,146,163.7,175,146,163.3,174,146,163.7,175,0,0,0,NA,NA,NA
"by order",30,4,0.669,0.765,0.814,-0.003,0.003,28,92,-0.234,0.222,NA,NA,NA,0.136,0.147,0.163,0.474,0.553,0.654,0.006,0.03,0.045,0,0,0,0,0,0,168,170.8,175,168,170.6,174,168,170.8,175,0,0,0,NA,NA,NA
"by order",30,5,0.844,0.844,0.844,-0.002,0.001,28,8,-0.237,0.182,NA,NA,NA,0.139,0.139,0.139,0.596,0.596,0.596,0.017,0.017,0.017,0,0,0,0,0,0,173,173,173,173,173,173,173,173,173,0,0,0,NA,NA,NA
"by order",40,3,0.538,0.706,0.764,0.003,0.005,9,92,-0.152,0.172,NA,NA,NA,0.117,0.153,0.171,0.22,0.554,0.729,0,0.055,0.165,0,0,0,0,0,0,147,166.3,176,147,165.9,175,147,166.3,176,0,0,0,NA,NA,NA
"by order",40,4,0.743,0.833,0.869,0,-0.002,9,92,-0.158,0.215,NA,NA,NA,0.123,0.137,0.15,0.527,0.614,0.695,0,0.028,0.057,0,0,0,0,0,0,166,171,176,166,170.6,175,166,171,176,0,0,0,NA,NA,NA
"by order",40,5,0.916,0.916,0.916,0,-0.001,9,57,-0.162,0.113,NA,NA,NA,0.133,0.133,0.133,0.68,0.68,0.68,0,0,0,0,0,0,0,0,0,176,176,176,175,175,175,176,176,176,0,0,0,NA,NA,NA
"by order",50,3,0.564,0.744,0.792,0.004,0.004,9,116,-0.17,0.299,NA,NA,NA,0.113,0.148,0.168,0.334,0.623,0.781,0,0.052,0.159,0,0,0,0,0,0,148,166.8,176,148,166.4,175,148,166.8,176,0,0,0,NA,NA,NA
"by order",50,4,0.772,0.873,0.905,0,0.004,9,92,-0.173,0.181,NA,NA,NA,0.124,0.134,0.148,0.636,0.686,0.748,0,0.022,0.034,0,0,0,0,0,0,170,172.2,176,169,171.8,175,170,172.2,176,0,0,0,NA,NA,NA
"by order",50,5,0.947,0.947,0.947,0.001,0.004,9,70,-0.175,0.094,NA,NA,NA,0.129,0.129,0.129,0.727,0.727,0.727,0.006,0.006,0.006,0,0,0,0,0,0,175,175,175,174,174,174,175,175,175,0,0,0,NA,NA,NA
"by order",60,3,0.603,0.793,0.855,0.009,0.003,91,116,-0.096,0.572,NA,NA,NA,0.114,0.146,0.166,0.46,0.68,0.812,0,0.051,0.148,0,0,0,0,0,0,150,167,176,150,166.6,175,150,167,176,0,0,0,NA,NA,NA
"by order",60,4,0.807,0.914,0.941,0.003,0.003,91,92,-0.095,0.193,NA,NA,NA,0.125,0.134,0.147,0.698,0.737,0.786,0,0.02,0.04,0,0,0,0,0,0,169,172.4,176,169,172.2,175,169,172.4,176,0,0,0,NA,NA,NA
"by order",60,5,0.983,0.983,0.983,0.003,0.005,91,70,-0.09,0.09,NA,NA,NA,0.129,0.129,0.129,0.772,0.772,0.772,0.006,0.006,0.006,0,0,0,0,0,0,175,175,175,175,175,175,175,175,175,0,0,0,NA,NA,NA
"by order",70,3,0.634,0.813,0.87,0.005,-0.005,76,116,-0.044,0.565,NA,NA,NA,0.115,0.143,0.162,0.55,0.718,0.829,0,0.051,0.153,0,0,0,0,0,0,149,167,176,149,166.6,175,149,167,176,0,0,0,NA,NA,NA
"by order",70,4,0.824,0.933,0.961,-0.001,-0.003,94,92,-0.016,0.191,NA,NA,NA,0.123,0.132,0.145,0.735,0.771,0.811,0,0.016,0.023,0,0,0,0,0,0,172,173.2,176,172,173,175,172,173.2,176,0,0,0,NA,NA,NA
"by order",70,5,NA,NA,NA,0,0,1,6,0,0,NA,NA,NA,0.126,0.126,0.126,0.796,0.796,0.796,0.006,0.006,0.006,0,0,0,0,0,0,175,175,175,175,175,175,175,175,175,0,0,0,NA,NA,NA
