"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"by order",14,4,0.503,0.54,0.56,-0.072,-0.073,67,92,-0.589,0.657,NA,NA,NA,0.246,0.264,0.293,0.074,0.189,0.35,0.028,0.056,0.074,0,0,0,0,0,0,163,166.2,171,163,165.8,170,163,166.2,171,0,0,0,NA,NA,NA
"by order",14,5,0.584,0.584,0.584,-0.003,0.002,99,92,-0.598,0.731,NA,NA,NA,0.264,0.264,0.264,0.251,0.251,0.251,0.028,0.028,0.028,0,0,0,0,0,0,171,171,171,170,170,170,171,171,171,0,0,0,NA,NA,NA
"by order",20,3,0.381,0.56,0.641,-0.139,-0.131,67,8,-0.537,0.235,NA,NA,NA,0.194,0.256,0.334,0,0.317,0.624,0.017,0.09,0.21,0,0,0,0,0,0,139,160.1,173,139,159.7,172,139,160.1,173,0,0,0,NA,NA,NA
"by order",20,4,0.576,0.673,0.721,-0.083,-0.084,163,8,-0.461,0.348,NA,NA,NA,0.23,0.255,0.295,0.297,0.413,0.573,0.011,0.04,0.062,0,0,0,0,0,0,165,169,174,165,168.8,173,165,169,174,0,0,0,NA,NA,NA
"by order",20,5,0.727,0.727,0.727,-0.015,-0.009,163,8,-0.52,0.44,NA,NA,NA,0.252,0.252,0.252,0.452,0.452,0.452,0.028,0.028,0.028,0,0,0,0,0,0,171,171,171,171,171,171,171,171,171,0,0,0,NA,NA,NA
"by order",30,3,0.489,0.65,0.731,-0.141,-0.129,67,92,-0.449,0.265,NA,NA,NA,0.177,0.236,0.291,0.144,0.479,0.682,0.006,0.07,0.17,0,0,0,0,0,0,146,163.7,175,146,163.3,174,146,163.7,175,0,0,0,NA,NA,NA
"by order",30,4,0.657,0.761,0.812,-0.074,-0.066,28,92,-0.446,0.376,NA,NA,NA,0.213,0.234,0.263,0.474,0.553,0.654,0.006,0.03,0.045,0,0,0,0,0,0,168,170.8,175,168,170.6,174,168,170.8,175,0,0,0,NA,NA,NA
"by order",30,5,0.845,0.845,0.845,-0.004,0.002,28,8,-0.397,0.327,NA,NA,NA,0.236,0.236,0.236,0.596,0.596,0.596,0.017,0.017,0.017,0,0,0,0,0,0,173,173,173,173,173,173,173,173,173,0,0,0,NA,NA,NA
"by order",40,3,0.529,0.701,0.768,-0.142,-0.149,9,92,-0.414,0.233,NA,NA,NA,0.16,0.22,0.27,0.22,0.554,0.729,0,0.055,0.165,0,0,0,0,0,0,147,166.3,176,147,165.9,175,147,166.3,176,0,0,0,NA,NA,NA
"by order",40,4,0.725,0.83,0.87,-0.069,-0.073,9,92,-0.336,0.364,NA,NA,NA,0.193,0.217,0.24,0.527,0.614,0.695,0,0.028,0.057,0,0,0,0,0,0,166,171,176,166,170.6,175,166,171,176,0,0,0,NA,NA,NA
"by order",40,5,0.917,0.917,0.917,-0.001,-0.001,9,87,-0.266,0.183,NA,NA,NA,0.227,0.227,0.227,0.68,0.68,0.68,0,0,0,0,0,0,0,0,0,176,176,176,175,175,175,176,176,176,0,0,0,NA,NA,NA
"by order",50,3,0.55,0.737,0.797,-0.141,-0.14,9,116,-0.44,0.482,NA,NA,NA,0.154,0.214,0.268,0.334,0.623,0.781,0,0.052,0.159,0,0,0,0,0,0,148,166.8,176,148,166.4,175,148,166.8,176,0,0,0,NA,NA,NA
"by order",50,4,0.748,0.87,0.903,-0.069,-0.068,9,92,-0.359,0.311,NA,NA,NA,0.196,0.213,0.236,0.636,0.686,0.748,0,0.022,0.034,0,0,0,0,0,0,170,172.2,176,169,171.8,175,170,172.2,176,0,0,0,NA,NA,NA
"by order",50,5,0.947,0.947,0.947,0,0.008,9,70,-0.287,0.152,NA,NA,NA,0.219,0.219,0.219,0.727,0.727,0.727,0.006,0.006,0.006,0,0,0,0,0,0,175,175,175,174,174,174,175,175,175,0,0,0,NA,NA,NA
"by order",60,3,0.586,0.786,0.859,-0.134,-0.145,35,116,-0.34,0.936,NA,NA,NA,0.155,0.211,0.263,0.46,0.68,0.812,0,0.051,0.148,0,0,0,0,0,0,150,167,176,150,166.6,175,150,167,176,0,0,0,NA,NA,NA
"by order",60,4,0.782,0.91,0.939,-0.065,-0.065,35,92,-0.227,0.33,NA,NA,NA,0.196,0.212,0.232,0.698,0.737,0.786,0,0.02,0.04,0,0,0,0,0,0,169,172.4,176,169,172.2,175,169,172.4,176,0,0,0,NA,NA,NA
"by order",60,5,0.982,0.982,0.982,0.005,0.009,91,70,-0.165,0.147,NA,NA,NA,0.218,0.218,0.218,0.772,0.772,0.772,0.006,0.006,0.006,0,0,0,0,0,0,175,175,175,175,175,175,175,175,175,0,0,0,NA,NA,NA
"by order",70,3,0.619,0.805,0.87,-0.139,-0.165,82,116,-0.229,0.913,NA,NA,NA,0.157,0.206,0.255,0.55,0.718,0.829,0,0.051,0.153,0,0,0,0,0,0,149,167,176,149,166.6,175,149,167,176,0,0,0,NA,NA,NA
"by order",70,4,0.801,0.93,0.959,-0.071,-0.079,82,92,-0.102,0.327,NA,NA,NA,0.193,0.209,0.229,0.735,0.771,0.811,0,0.016,0.023,0,0,0,0,0,0,172,173.2,176,172,173,175,172,173.2,176,0,0,0,NA,NA,NA
"by order",70,5,NA,NA,NA,0,0,1,1,0,0,NA,NA,NA,0.213,0.213,0.213,0.796,0.796,0.796,0.006,0.006,0.006,0,0,0,0,0,0,175,175,175,175,175,175,175,175,175,0,0,0,NA,NA,NA
